,participant,valence_diff,arousal_diff,mood_valence,mood_arousal,age,race,gender,key
95,3,0.2923588039867111,-0.2225913621262458,2.0,0.0,24,Mixed race or ethnicity,Female,1
96,250,0.867109634551495,-1.053156146179402,-2.0,1.0,24,African American (or Black),Male,0
97,94,1.4950166112956813,1.2159468438538208,0.0,0.0,58,Caucasian (or White),Female,1
98,151,1.169435215946844,-0.2624584717607976,-1.0,-2.0,24,Caucasian (or White),Male,0
99,159,0.8405315614617939,-0.4119601328903655,-1.0,-2.0,48,Caucasian (or White),Male,1
100,258,-0.2192691029900331,-0.4684385382059801,0.0,0.0,75,African,Male,1
101,268,0.0033222591362127,0.4717607973421929,1.0,-2.0,54,Caucasian (or White),Female,1
102,106,1.4385382059800662,-0.2225913621262458,-2.0,1.0,77,Caucasian (or White),Male,0
103,144,1.0930232558139537,-0.7408637873754151,-2.0,1.0,58,Caucasian (or White),Female,0
104,227,0.3222591362126246,1.073089700996678,-2.0,0.0,32,Caucasian (or White),Female,1
105,44,1.0930232558139537,-1.4119601328903657,-1.0,-1.0,55,Caucasian (or White),Male,1
106,258,-1.0930232558139537,0.7408637873754151,0.0,0.0,75,African,Male,0
107,17,-0.0332225913621262,-0.86046511627907,2.0,2.0,31,Prefer not to answer,Female,0
108,176,1.521594684385382,-0.5049833887043191,1.0,1.0,40,Caucasian (or White),Male,0
109,66,1.7641196013289036,-0.7408637873754151,0.0,1.0,64,Caucasian (or White),Female,1
110,11,-0.5548172757475083,-0.9734219269102992,-1.0,0.0,49,Caucasian (or White),Female,1
111,99,1.362126245847176,-1.1561461794019934,2.0,2.0,56,Asian American (or Pacific Islander),Male,0
112,67,-1.2325581395348837,1.4551495016611296,-1.0,1.0,57,Caucasian (or White),Female,1
113,29,-1.2757475083056478,1.4485049833887045,-1.0,-1.0,23,Caucasian (or White),Gender queer/Gender nonconforming,0
114,207,-1.4551495016611296,0.8936877076411962,0.0,1.0,66,Caucasian (or White),Male,1
115,220,0.3089700996677744,-1.219269102990033,-2.0,-1.0,36,African American (or Black),Male,1
116,34,-0.5548172757475083,1.421926910299003,0.0,1.0,48,Mixed race or ethnicity,Female,1
117,88,1.0132890365448506,0.9734219269102992,-1.0,-1.0,42,Caucasian (or White),Female,1
118,117,-0.4219269102990033,-1.1893687707641196,-1.0,1.0,41,Asian American (or Pacific Islander),Female,0
119,119,-1.8637873754152825,0.6611295681063121,-2.0,-1.0,67,African American (or Black),Female,0
120,217,0.0199335548172756,0.4983388704318936,-1.0,-1.0,61,Caucasian (or White),Male,0
121,206,-2.0764119601328903,0.6112956810631229,0.0,0.0,51,Caucasian (or White),Male,1
122,232,0.1993355481727574,0.6411960132890369,-1.0,-2.0,68,Caucasian (or White),Male,0
123,57,1.0664451827242525,1.2392026578073092,0.0,0.0,38,Caucasian (or White),Male,1
124,211,0.521594684385382,0.4883720930232558,0.0,0.0,26,Caucasian (or White),Female,1
125,187,0.9302325581395352,0.5282392026578075,0.0,2.0,45,Caucasian (or White),Male,1
126,77,-1.0963455149501664,0.1295681063122922,1.0,1.0,43,Caucasian (or White),Female,0
127,216,0.1029900332225914,0.0664451827242524,2.0,0.0,51,Caucasian (or White),Male,1
128,213,-0.6976744186046513,0.1694352159468439,2.0,2.0,26,Caucasian (or White),Male,0
129,83,-2.262458471760797,-0.0564784053156146,0.0,-1.0,23,Caucasian (or White),Male,0
130,132,0.1661129568106312,-0.6578073089700998,0.0,-1.0,31,Prefer not to answer,Male,0
131,192,0.7275747508305646,-0.4019933554817276,-2.0,-2.0,45,Caucasian (or White),Male,1
132,134,-1.9667774086378735,-0.0531561461794019,1.0,0.0,28,Caucasian (or White),Male,0
133,34,-2.0332225913621262,-0.4352159468438539,-1.0,1.0,48,Mixed race or ethnicity,Female,1
134,2,1.4551495016611296,-0.8936877076411962,1.0,-1.0,29,Caucasian (or White),Male,1
135,262,1.302325581395349,-0.5149501661129565,1.0,1.0,19,Caucasian (or White),Male,1
136,43,1.1993355481727574,0.5282392026578075,1.0,2.0,38,Caucasian (or White),Female,1
137,82,0.8039867109634553,-0.7076411960132889,0.0,-1.0,57,Asian American (or Pacific Islander),Male,0
138,102,-0.558139534883721,0.8106312292358802,1.0,1.0,36,Caucasian (or White),Male,1
139,105,2.142857142857143,0.2956810631229238,1.0,0.0,23,Caucasian (or White),Male,1
140,144,-1.4485049833887045,0.0099667774086378,-1.0,1.0,58,Caucasian (or White),Female,1
141,85,0.0498338870431891,0.2159468438538203,1.0,0.0,38,Caucasian (or White),Male,0
142,144,-1.425249169435216,-0.5780730897009967,-1.0,1.0,58,Caucasian (or White),Female,1
143,279,1.6312292358803986,-0.388704318936877,1.0,1.0,66,Caucasian (or White),Female,1
144,299,0.8272425249169437,0.1727574750830567,0.0,-2.0,32,African American (or Black),Male,0
145,98,1.664451827242525,-0.0531561461794019,0.0,0.0,54,Caucasian (or White),Female,0
146,249,-1.0930232558139537,1.4119601328903657,-2.0,-1.0,52,African American (or Black),Male,1
147,89,2.0764119601328903,-0.6112956810631229,1.0,1.0,40,Caucasian (or White),Female,0
148,119,1.853820598006644,-1.2026578073089702,-2.0,-1.0,67,African American (or Black),Female,1
149,296,-0.1561461794019929,0.4684385382059801,0.0,-2.0,27,African American (or Black),Male,0
150,57,-1.870431893687708,0.5415282392026577,0.0,1.0,38,Caucasian (or White),Male,1
151,283,0.9401993355481726,0.4750830564784056,-1.0,0.0,60,Caucasian (or White),Male,1
152,266,1.8006644518272426,-0.0830564784053153,0.0,0.0,60,Caucasian (or White),Female,1
153,176,-0.9667774086378738,0.8139534883720931,0.0,0.0,40,Caucasian (or White),Male,0
154,136,0.0199335548172756,0.4983388704318936,-1.0,0.0,57,African American (or Black),Female,0
155,101,0.6877076411960132,0.4850498338870435,0.0,-1.0,27,Caucasian (or White),Female,1
156,260,-1.7408637873754151,1.053156146179402,0.0,0.0,38,Caucasian (or White),Female,1
157,165,0.2591362126245844,0.4551495016611295,0.0,-2.0,34,Asian American (or Pacific Islander),Male,1
158,263,0.0033222591362127,0.6112956810631229,2.0,1.0,69,Caucasian (or White),Female,0
159,168,-0.0166112956810633,0.2093023255813952,-1.0,-1.0,23,African American (or Black),Male,1
160,243,-1.5514950166112955,0.9368770764119604,2.0,2.0,63,Caucasian (or White),Female,0
161,46,1.3554817275747508,-0.3156146179401995,-1.0,-1.0,22,Hispanic American (or Latino),Gender queer/Gender nonconforming,0
162,164,0.2159468438538205,-0.8405315614617939,-2.0,1.0,59,Caucasian (or White),Female,1
163,39,1.4385382059800662,0.5747508305647839,-2.0,0.0,57,African American (or Black),Female,1
164,253,1.611295681063123,-0.6677740863787376,1.0,1.0,44,Asian American (or Pacific Islander),Male,0
165,273,0.5548172757475083,-1.421926910299003,0.0,0.0,40,Caucasian (or White),Male,0
166,269,-1.016611295681063,1.4119601328903657,-2.0,1.0,35,Caucasian (or White),Female,1
167,272,0.7774086378737541,0.2392026578073087,1.0,2.0,28,Caucasian (or White),Male,0
168,245,1.9900332225913624,-0.8405315614617943,-1.0,-1.0,53,African American (or Black),Male,1
169,200,1.2757475083056478,-0.6511627906976747,-1.0,0.0,62,Caucasian (or White),Female,1
170,25,-0.691029900332226,0.425249169435216,-1.0,-1.0,28,African American (or Black),Female,1
171,2,-0.3488372093023253,-0.691029900332226,1.0,-1.0,29,Caucasian (or White),Male,1
172,97,1.2358803986710964,-0.388704318936877,-2.0,-1.0,26,Caucasian (or White),Male,1
173,267,1.3720930232558135,-0.352159468438538,-1.0,-1.0,29,Asian American (or Pacific Islander),Female,1
174,269,-1.6179401993355482,0.3421926910299002,-2.0,0.0,35,Caucasian (or White),Female,1
175,116,-0.0166112956810633,-0.6611295681063125,1.0,0.0,46,Caucasian (or White),Female,1
176,280,-0.1760797342192694,0.1993355481727574,0.0,-1.0,53,Caucasian (or White),Female,0
177,173,0.8272425249169437,-0.1461794019933555,0.0,-2.0,67,Caucasian (or White),Male,1
178,176,1.162790697674419,0.152823920265781,1.0,0.0,40,Caucasian (or White),Male,1
179,154,0.558139534883721,-0.8106312292358802,1.0,1.0,47,Caucasian (or White),Male,1
180,219,0.9401993355481726,0.4750830564784056,1.0,0.0,61,Caucasian (or White),Male,1
181,236,1.1528239202657806,-0.0598006644518269,-2.0,2.0,68,Hispanic,Female,1
182,147,1.1295681063122922,-0.6777408637873754,-2.0,-2.0,36,African American (or Black),Female,1
183,135,-0.352159468438538,0.4750830564784052,0.0,0.0,54,Caucasian (or White),Male,1
184,60,-1.5481727574750828,1.0332225913621262,0.0,0.0,27,Caucasian (or White),Female,1
185,124,0.1229235880398667,-1.32890365448505,1.0,1.0,36,Caucasian (or White),Male,1
186,182,1.3189368770764118,-0.315614617940199,2.0,1.0,43,Caucasian (or White),Male,0
187,69,0.2192691029900331,0.5448504983388704,-2.0,-1.0,19,Asian American (or Pacific Islander),Male,0
188,143,1.3222591362126246,-0.2225913621262458,0.0,0.0,60,Caucasian (or White),Male,1
189,230,1.591362126245847,-1.4983388704318936,-1.0,1.0,46,Caucasian (or White),Female,1
190,115,1.3421926910299002,-1.6511627906976745,1.0,-1.0,46,Caucasian (or White),Male,1
191,38,1.7176079734219267,-0.0963455149501659,-1.0,-1.0,69,African American (or Black),Female,0
192,30,0.0564784053156146,-0.7574750830564785,-2.0,1.0,36,Caucasian (or White),Male,1
193,153,-0.0099667774086378,-1.0232558139534884,0.0,0.0,60,Caucasian (or White),Male,0
194,121,0.9136212624584714,1.219269102990033,0.0,0.0,49,Caucasian (or White),Female,1
195,220,0.7740863787375414,-0.8338870431893688,-2.0,-1.0,36,African American (or Black),Male,0
196,289,1.1627906976744184,-0.1063122923588042,0.0,0.0,47,African American (or Black),Female,0
197,270,1.2093023255813953,-0.9169435215946846,1.0,0.0,60,Caucasian (or White),Male,1
198,31,-0.4219269102990033,-0.5448504983388704,1.0,1.0,25,Caucasian (or White),Female,1
199,56,-0.6644518272425248,-0.0033222591362123,0.0,-1.0,70,African American (or Black),Transgender,0
200,46,1.6677740863787376,0.1395348837209304,-1.0,-1.0,22,Hispanic American (or Latino),Gender queer/Gender nonconforming,1
201,48,0.7607973421926908,-0.691029900332226,1.0,0.0,52,Caucasian (or White),Female,1
202,146,1.3554817275747508,-0.3156146179401995,1.0,0.0,62,Asian American (or Pacific Islander),Male,1
203,216,-0.6046511627906979,1.2026578073089702,2.0,0.0,51,Caucasian (or White),Male,1
204,60,-0.5348837209302322,1.212624584717608,0.0,0.0,27,Caucasian (or White),Female,0
205,149,-0.2558139534883721,-1.1262458471760797,1.0,1.0,49,African American (or Black),Male,0
206,275,0.8405315614617939,-0.4119601328903655,-1.0,0.0,64,Caucasian (or White),Female,1
207,180,-0.0564784053156146,-0.9601328903654488,1.0,0.0,59,Caucasian (or White),Female,1
208,277,0.9800664451827245,-0.4119601328903655,0.0,-1.0,36,African American (or Black),Male,0
209,38,0.0863787375415281,0.2923588039867111,-1.0,-1.0,69,African American (or Black),Female,1
210,4,1.5481727574750828,0.0930232558139536,-2.0,0.0,29,Caucasian (or White),Female,1
211,253,0.2425249169435219,0.2225913621262458,1.0,0.0,44,Asian American (or Pacific Islander),Male,0
212,221,-1.1993355481727574,-0.9202657807308974,-1.0,0.0,31,Caucasian (or White),Male,0
213,299,0.8837209302325579,-1.0265780730897012,-1.0,-2.0,32,African American (or Black),Male,0
214,27,-0.2392026578073092,0.4019933554817276,0.0,0.0,27,Caucasian (or White),Male,0
215,240,-0.8172757475083055,1.292358803986711,2.0,1.0,54,Caucasian (or White),Male,0
216,170,-1.6877076411960132,1.46843853820598,0.0,0.0,48,Caucasian (or White),Male,0
217,249,-0.8471760797342189,0.5382059800664454,0.0,0.0,52,African American (or Black),Male,1
218,294,-0.9036544850498336,1.1561461794019934,-1.0,-1.0,28,Asian American (or Pacific Islander),Male,1
219,83,-1.1727574750830567,-0.3222591362126246,-1.0,-1.0,23,Caucasian (or White),Male,0
220,286,-1.2757475083056478,1.4485049833887045,0.0,0.0,64,Caucasian (or White),Male,1
221,239,-0.0598006644518274,-0.1461794019933555,0.0,0.0,58,Caucasian (or White),Male,0
222,90,-0.8272425249169433,0.2691029900332227,1.0,0.0,28,Caucasian (or White),Male,1
223,292,0.59468438538206,1.6411960132890366,0.0,-1.0,39,Asian American (or Pacific Islander),Female,0
224,12,-0.5880398671096345,-0.5448504983388704,-1.0,1.0,20,African American (or Black),Female,0
225,98,1.205980066445183,0.0,0.0,0.0,54,Caucasian (or White),Female,0
226,237,1.2325581395348837,-0.036544850498339,2.0,1.0,61,Caucasian (or White),Male,1
227,13,1.7740863787375414,-1.2392026578073088,0.0,0.0,33,Caucasian (or White),Female,0
228,120,-0.9700996677740864,1.1528239202657806,-1.0,-1.0,35,Caucasian (or White),Female,0
229,26,-0.1860465116279068,-1.6212624584717608,-2.0,2.0,49,Caucasian (or White),Female,1
230,43,-1.6511627906976742,-0.7475083056478407,1.0,2.0,38,Caucasian (or White),Female,0
231,170,0.8172757475083055,-1.292358803986711,0.0,0.0,48,Caucasian (or White),Male,1
232,182,-1.162790697674419,0.3488372093023257,2.0,2.0,43,Caucasian (or White),Male,1
233,48,-0.2558139534883721,-0.8405315614617943,1.0,0.0,52,Caucasian (or White),Female,0
234,151,-0.946843853820598,0.6710963455149499,-1.0,-1.0,24,Caucasian (or White),Male,0
235,88,-0.1063122923588042,-0.7142857142857144,-1.0,-1.0,42,Caucasian (or White),Female,0
236,248,-2.166112956810631,0.0332225913621262,-1.0,0.0,25,Caucasian (or White),Male,1
237,35,-1.7408637873754151,1.053156146179402,-2.0,1.0,40,Caucasian (or White),Female,0
238,236,-0.1428571428571428,0.4651162790697674,-2.0,2.0,68,Hispanic,Female,0
239,19,1.232558139534884,0.212624584717608,1.0,0.0,23,Caucasian (or White),Female,1
240,25,-1.395348837209302,1.2458471760797345,-1.0,-1.0,28,African American (or Black),Female,1
241,3,-2.0564784053156147,0.4584717607973423,1.0,0.0,24,Mixed race or ethnicity,Female,0
242,86,-1.717607973421927,1.249169435215947,1.0,0.0,53,Caucasian (or White),Female,1
243,189,1.0996677740863787,-0.388704318936877,0.0,0.0,59,Caucasian (or White),Male,0
244,7,0.212624584717608,-0.9136212624584714,0.0,0.0,63,Caucasian (or White),Female,1
245,178,-1.1461794019933556,0.9335548172757476,-1.0,-1.0,24,Caucasian (or White),Male,1
246,188,0.5780730897009967,-1.318936877076412,1.0,2.0,53,Caucasian (or White),Male,0
247,63,-1.787375415282392,-0.1395348837209304,-2.0,0.0,32,African American (or Black),Female,1
248,293,-0.3023255813953489,0.0897009966777404,-1.0,-1.0,36,Caucasian (or White),Male,1
249,253,0.3621262458471759,-0.1926910299003319,1.0,0.0,44,Asian American (or Pacific Islander),Male,0
250,52,0.4152823920265778,0.1229235880398671,-1.0,0.0,23,Caucasian (or White),Female,1
251,168,0.3953488372093021,-1.5481727574750832,2.0,0.0,23,African American (or Black),Male,0
252,70,1.900332225913621,-0.3023255813953489,-2.0,0.0,34,Caucasian (or White),Male,0
253,233,-0.9534883720930232,0.7973421926910298,-1.0,1.0,65,Caucasian (or White),Male,1
254,271,1.7641196013289036,-0.7408637873754151,0.0,0.0,42,Asian American (or Pacific Islander),Female,1
255,23,-1.3355481727574752,0.4784053156146179,-2.0,0.0,21,Caucasian (or White),Female,1
256,278,-1.827242524916944,-0.1561461794019933,-1.0,-1.0,55,Caucasian (or White),Male,0
257,104,-1.0033222591362128,0.4684385382059801,1.0,1.0,64,Caucasian (or White),Female,1
258,220,1.26578073089701,-1.0465116279069768,-2.0,-1.0,36,African American (or Black),Male,1
259,166,1.7308970099667775,0.1262458471760799,0.0,0.0,66,Caucasian (or White),Female,0
260,73,0.1960132890365447,0.1694352159468439,1.0,1.0,66,Caucasian (or White),Male,0
261,238,-0.8538205980066444,0.581395348837209,-1.0,-1.0,37,Hispanic American (or Latino),Female,1
262,81,-1.222591362126246,0.0,0.0,0.0,30,Caucasian (or White),Female,0
263,129,-0.9435215946843852,-0.8073089700996681,0.0,-1.0,50,Caucasian (or White),Female,1
264,281,0.3056478405315612,-1.5913621262458473,0.0,0.0,35,African American (or Black),Female,1
265,205,0.9900332225913622,-1.1428571428571432,0.0,1.0,84,Caucasian (or White),Male,1
266,256,2.0764119601328903,-0.6112956810631229,1.0,1.0,59,Hispanic American (or Latino),Female,1
267,89,-0.6079734219269102,0.1196013289036548,1.0,1.0,40,Caucasian (or White),Female,0
268,299,1.2159468438538203,-1.2724252491694354,-1.0,-2.0,32,African American (or Black),Male,0
269,227,-1.870431893687708,0.5415282392026577,-1.0,0.0,32,Caucasian (or White),Female,1
270,165,-2.169435215946844,-0.7441860465116279,0.0,-2.0,34,Asian American (or Pacific Islander),Male,1
271,87,0.6411960132890364,0.8970099667774085,0.0,0.0,30,Caucasian (or White),Female,1
272,266,2.033222591362126,-1.418604651162791,1.0,2.0,60,Caucasian (or White),Female,0
273,207,1.581395348837209,-0.1727574750830562,1.0,1.0,66,Caucasian (or White),Male,0
274,81,0.5747508305647839,-0.6378737541528241,0.0,0.0,30,Caucasian (or White),Female,0
275,19,1.6677740863787376,0.1395348837209304,1.0,0.0,23,Caucasian (or White),Female,1
276,193,-1.0332225913621262,-0.7840531561461797,-1.0,-1.0,31,Caucasian (or White),Gender queer/Gender nonconforming,0
277,101,1.5282392026578075,-0.1528239202657806,0.0,0.0,27,Caucasian (or White),Female,1
278,27,1.9900332225913624,-0.8405315614617943,0.0,0.0,27,Caucasian (or White),Male,0
279,10,1.8770764119601329,-0.3488372093023257,1.0,-1.0,24,Caucasian (or White),Female,1
280,79,1.7142857142857144,-0.3122923588039867,0.0,1.0,29,Caucasian (or White),Male,1
281,184,0.2392026578073092,0.2425249169435215,1.0,0.0,68,Caucasian (or White),Female,0
282,98,-0.0697674418604652,0.6744186046511627,0.0,0.0,54,Caucasian (or White),Female,0
283,201,0.7707641196013286,0.7508305647840534,0.0,0.0,45,Prefer not to answer,Would prefer not to answer,0
284,220,-0.9667774086378738,0.8139534883720931,-1.0,-1.0,36,African American (or Black),Male,0
285,154,-0.5647840531561461,-0.0531561461794023,1.0,1.0,47,Caucasian (or White),Male,0
286,162,0.4186046511627905,-0.830564784053156,-1.0,2.0,59,African American (or Black),Male,1
287,55,-0.5647840531561461,1.6611295681063123,-1.0,-1.0,44,Caucasian (or White),Female,0
288,5,0.9867109634551494,-1.8471760797342196,-1.0,0.0,22,Caucasian (or White),Male,0
289,279,-1.1993355481727574,-0.2159468438538208,1.0,0.0,66,Caucasian (or White),Female,1
290,176,1.6046511627906974,-0.4784053156146179,-1.0,1.0,40,Caucasian (or White),Male,0
